feature,beta,abs_beta,beta_sign,odds_ratio,corr_pearson,corr_spearman,corr_sign_pearson,corr_sign_spearman,inconsistent_pearson,inconsistent_spearman,iv,vif
wsk_efekt_dzwigni_fin_2,0.03342447115412567,0.03342447115412567,positive,1.0339893447550974,-0.09624245383093416,-0.0898466758648348,negative,negative,True,True,0.11539907735601475,4.038872053863723
wsk_rotacja_rz_aktywow_trwalych,0.028227257878198214,0.028227257878198214,positive,1.028629422000962,-0.044816383215951106,-0.04455691735335484,negative,negative,True,True,0.02301394085450075,2.093258492583191
wsk_rotacja_naleznosci_dostaw_uslug,0.023627255996929896,0.023627255996929896,positive,1.023908590964856,-0.053313687405716806,-0.0522897576866451,negative,negative,True,True,0.033120925572571076,2.1429363497410323
wsk_udzial_zob_biez_sprzedaz_2,0.020542872518616317,0.020542872518616317,positive,1.0207553296569793,-0.09904730706044051,-0.09754756626452725,negative,negative,True,True,0.11379498602801566,3.5343552415526376
wsk_struktura_majatku,0.019617364432683523,0.019617364432683523,positive,1.0198110493825405,-0.06330237987443856,-0.061271932866172364,negative,negative,True,True,0.044613111960667015,4.505356072048912
Zapasy,0.019350520447321103,0.019350520447321103,positive,1.0195389552427636,-0.06157254290682591,-0.06125371614721283,negative,negative,True,True,0.04500104410874362,17.31010420224533
wsk_rotacja_wartosci_niewaterialnych,0.018735855653593623,0.018735855653593623,positive,1.0189124730991252,-0.1046601916926789,-0.10213816439461341,negative,negative,True,True,0.12602233175513364,3.1997143752391333
wsk_koszt_długu_2,0.017870952083936673,0.017870952083936673,positive,1.0180315930570327,-0.06157254290682588,-0.06125371614721283,negative,negative,True,True,0.04500104410874362,37.90074123431772
koszty_finansowe,0.01672175190369726,0.01672175190369726,positive,1.016862342946703,-0.06712803545120202,-0.06722968845425799,negative,negative,True,True,0.055066655784287905,3.9455989661839874
przychody_finansowe,0.016251019567046006,0.016251019567046006,positive,1.0163837856049998,-0.05760382466073225,-0.05527774384016768,negative,negative,True,True,0.04186280575165441,2.241186351029853
przychody_odsetki,0.014971668289703102,0.014971668289703102,positive,1.0150843051338583,-0.04913397768331983,-0.049133977683319834,negative,negative,True,True,0.030496906952248284,1.9222184476687265
wsk_koszt_długu_1,0.014839082417111604,0.014839082417111604,positive,1.0149497282172042,-0.06506504056812255,-0.0642417023007354,negative,negative,True,True,0.05024373458231357,40.06926515612082
wsk_udzial_zapasy_zobowiazania,0.014384934384685103,0.014384934384685103,positive,1.0144888954461913,-0.06506504056812254,-0.0642417023007354,negative,negative,True,True,0.05024373458231357,28.157309775490987
przychody_sprzedazy,0.013427831397744592,0.013427831397744592,positive,1.013518389605247,-0.12424886200644111,-0.11479683973777122,negative,negative,True,True,0.17115342200548384,6.174573689197787
amortyzacja,0.011333302428519307,0.011333302428519307,positive,1.0113977676047559,-0.09286995520177434,-0.0926275707591999,negative,negative,True,True,0.10800012566764039,3.3325915748479535
