                                                                  min                  max                   mean  missing_ratio
wsk_pokrycie_zob_kr_gotowkowe_2                            -16.129054            31.345281               0.794239       0.989444
wsk_pokrycie_wyd_fin_gotowkowe_2                           -19.338356            19.662548              -0.040458       0.989444
RP_przeplywy_operacyjne                                   -2545446.46           6655611.21          475187.410526       0.989444
wsk_zysk_CF_operacyjny                                    -93741.6891           50475.6663           -3720.362263       0.989444
wsk_zadluzenia_gotowki_2                                   -22.810879          431979.0589           31044.270763       0.989444
wsk_akt_generowania_got_2                                   -0.211243             0.340154               0.030123       0.989444
RP_amortyzacja                                                    0.0           6968946.65          881128.166813       0.949444
wsk_plynnosc_biez_1                                        -233.93319         33409.166667              56.129941       0.345000
wsk_struktura_kap_wlasnego_s_2                              -8.032684           368.032787               2.533524       0.037222
wsk_kapital_do_aktywa                                       -0.121549           159.892008               0.692656       0.015556
wsk_ebitda_zobowiazan_odsetki_2                       -2589068.428571      24619203.333333           45888.979899       0.000000
wsk_pokrycia_odsetek_zyskiem                          -3191439.428571      19633919.333333           29709.792446       0.000000
wsk_zadluzenia_dlugie                                       -5.149137           259.855146                0.83044       0.000000
wsk_zadluzenia_krotkie                                      -4.078016           376.672885               2.546319       0.000000
wsk_pokrycia_zobowiazan_rz_aktywami_trwalymi     -43723361496753768.0  454327696474767.375 -38947399837684.445312       0.000000
wsk_ebitda_zobowiazan_2                                       -7650.0           15193.3935              13.630267       0.000000
wsk_ROE_brutto                                            -101.234698            5066.6929               4.269169       0.000000
wsk_ROA_operacyjny                                           -31.2133            3238.5014               2.456266       0.000000
wsk_efekt_dzwigni_fin_1                                    -62.555661           32981.6304              37.007334       0.000000
wsk_efekt_dzwigni_fin_2                                    -6434.6709           15406.9929              14.334391       0.000000
wsk_ebitda_koszty_odsetkowe_1                         -2589068.428571      24619203.333333           40270.015735       0.000000
wsk_ebitda_zobowiazan_1                                       -7650.0            5206.0175               4.525901       0.000000
wsk_ebitda_zobowiazan_odsetki_3                         -62081.724719          225232.3134            2478.896086       0.000000
wsk_ebitda_koszty_odsetkowe_2                         -2589068.428571      24619203.333333           45888.979899       0.000000
wsk_zadluzenia_pozyczki_dlugie                              -5.099085           219.587929               0.867824       0.000000
wsk_ebitda_koszty_odsetkowe_3                         -2594469.571429      24619203.333333           36559.575295       0.000000
wsk_ebitda_koszty_finansowe_1                         -2589068.428571            3096094.0            4200.037819       0.000000
wsk_ebitda_zobowiazan_odsetki_4                         -62081.724719          225232.3134            2575.167287       0.000000
wsk_ebitda_koszty_finansowe_2                         -2589068.428571            3096094.0            4398.645764       0.000000
wsk_ebitda_koszty_finansowe_3                         -2594469.571429            3012071.0            6275.315574       0.000000
wsk_ebitda_zobowiazan_odsetki_1                       -2589068.428571      24619203.333333           40270.015735       0.000000
szczegolnaFormaPrawna_Symbol                                    117.0                117.0                  117.0       0.000000
wsk_pokrycie_aktywow_kap_stalym                            -1781.2113           20907170.0           12442.154516       0.000000
wsk_ogolnego_zadluzenia_pozyczki                            -7.316918           261.317935               1.392439       0.000000
wsk_pokrycie_zob_kr_gotowkowe_1                               -7650.0           13725.5364              83.774598       0.000000
wsk_zysk_op_zobowiazania                                  -17700.0732          192070.5899            2358.069738       0.000000
wsk_sprzedaz_kap_obrotowy                                -2687.712693           32896.2255              52.908457       0.000000
wsk_koszty_przychody                                       -30.737123              93900.0             182.068627       0.000000
wsk_rent_kapitalu                                        -3638.962903           27491.4225              28.903221       0.000000
wsk_stopa_zysku_sprzedaz                                     -93899.0            31.737123            -181.318627       0.000000
wsk_pokrycie_wyd_fin_gotowkowe_1                      -2589069.428571            3096093.0            4185.932217       0.000000
wsk_koszt_długu_1                                                 0.0             37233.37              85.518718       0.000000
wsk_koszt_długu_2                                                 0.0             37233.37             100.661643       0.000000
wsk_pokrycie_aktywow_tr_kapitalem_st                      -339.188814          265329336.0          149439.579554       0.000000
wsk_struktury_finansowania                                  -0.301839            28078.982              28.699709       0.000000
wsk_zysk_operacyjny_zob_1                                 -17700.0732          192070.5899            2358.069738       0.000000
wsk_zadluzenie_kap_wlasnego                                 -9.227154          2812.877561               7.566182       0.000000
wsk_zysk_operacyjny_zob_2                                     -3825.0           51644.6973              53.372523       0.000000
wsk_zadluzenia_gotowki_1                                -49931.073317           21464.2824              25.297005       0.000000
